AElig	Æ
AMP	&
AMP;	&
Aacute	Á
Abreve;	Ă
Acirc	Â
Acy;	А
Afr;	𝔄
Agrave	À
Amacr;	Ā
And;	⩓
Aogon;	Ą
Aopf;	𝔸
ApplyFunction;	⁡
Aring	Å
Ascr;	𝒜
Assign;	≔
Atilde	Ã
Auml	Ä
Backslash;	∖
Barv;	⫧
Barwed;	⌆
Bcy;	Б
Because;	∵
Bernoullis;	ℬ
Bfr;	𝔅
Bopf;	𝔹
Breve;	˘
Bscr;	ℬ
Bumpeq;	≎
CHcy;	Ч
COPY	©
COPY;	©
Cacute;	Ć
Cap;	⋒
CapitalDifferentialD;	ⅅ
Cayleys;	ℭ
Ccaron;	Č
Ccedil	Ç
Ccirc;	Ĉ
Cconint;	∰
Cdot;	Ċ
Cedilla;	¸
CenterDot;	·
Cfr;	ℭ
CircleDot;	⊙
CircleMinus;	⊖
CirclePlus;	⊕
CircleTimes;	⊗
ClockwiseContourIntegral;	∲
CloseCurlyDoubleQuote;	”
CloseCurlyQuote;	’
Colon;	∷
Colone;	⩴
Congruent;	≡
Conint;	∯
ContourIntegral;	∮
Copf;	ℂ
Coproduct;	∐
CounterClockwiseContourIntegral;	∳
Cross;	⨯
Cscr;	𝒞
Cup;	⋓
CupCap;	≍
DD;	ⅅ
DDotrahd;	⤑
DJcy;	Ђ
DScy;	Ѕ
DZcy;	Џ
Darr;	↡
Dashv;	⫤
Dcaron;	Ď
Dcy;	Д
Del;	∇
Dfr;	𝔇
DiacriticalAcute;	´
DiacriticalDot;	˙
DiacriticalDoubleAcute;	˝
DiacriticalGrave;	`
DiacriticalTilde;	˜
Diamond;	⋄
DifferentialD;	ⅆ
Dopf;	𝔻
Dot;	¨
DotDot;	⃜
DotEqual;	≐
DoubleContourIntegral;	∯
DoubleDot;	¨
DoubleDownArrow;	⇓
DoubleLeftArrow;	⇐
DoubleLeftRightArrow;	⇔
DoubleLeftTee;	⫤
DoubleLongLeftArrow;	⟸
DoubleLongLeftRightArrow;	⟺
DoubleLongRightArrow;	⟹
DoubleRightArrow;	⇒
DoubleRightTee;	⊨
DoubleUpArrow;	⇑
DoubleUpDownArrow;	⇕
DoubleVerticalBar;	∥
DownArrow;	↓
DownArrowBar;	⤓
DownArrowUpArrow;	⇵
DownBreve;	̑
DownLeftRightVector;	⥐
DownLeftTeeVector;	⥞
DownLeftVector;	↽
DownLeftVectorBar;	⥖
DownRightTeeVector;	⥟
DownRightVector;	⇁
DownRightVectorBar;	⥗
DownTee;	⊤
DownTeeArrow;	↧
Downarrow;	⇓
Dscr;	𝒟
Dstrok;	Đ
ENG;	Ŋ
ETH	Ð
Eacute	É
Ecaron;	Ě
Ecirc	Ê
Ecy;	Э
Edot;	Ė
Efr;	𝔈
Egrave	È
Element;	∈
Emacr;	Ē
EmptySmallSquare;	◻
EmptyVerySmallSquare;	▫
Eogon;	Ę
Eopf;	𝔼
Equal;	⩵
EqualTilde;	≂
Equilibrium;	⇌
Escr;	ℰ
Esim;	⩳
Euml	Ë
Exists;	∃
ExponentialE;	ⅇ
Fcy;	Ф
Ffr;	𝔉
FilledSmallSquare;	◼
FilledVerySmallSquare;	▪
Fopf;	𝔽
ForAll;	∀
Fouriertrf;	ℱ
Fscr;	ℱ
GJcy;	Ѓ
GT	>
GT;	>
Gammad;	Ϝ
Gbreve;	Ğ
Gcedil;	Ģ
Gcirc;	Ĝ
Gcy;	Г
Gdot;	Ġ
Gfr;	𝔊
Gg;	⋙
Gopf;	𝔾
GreaterEqual;	≥
GreaterEqualLess;	⋛
GreaterFullEqual;	≧
GreaterGreater;	⪢
GreaterLess;	≷
GreaterSlantEqual;	⩾
GreaterTilde;	≳
Gscr;	𝒢
Gt;	≫
HARDcy;	Ъ
Hacek;	ˇ
Hat;	^
Hcirc;	Ĥ
Hfr;	ℌ
HilbertSpace;	ℋ
Hopf;	ℍ
HorizontalLine;	─
Hscr;	ℋ
Hstrok;	Ħ
HumpDownHump;	≎
HumpEqual;	≏
IEcy;	Е
IJlig;	Ĳ
IOcy;	Ё
Iacute	Í
Icirc	Î
Icy;	И
Idot;	İ
Ifr;	ℑ
Igrave	Ì
Im;	ℑ
Imacr;	Ī
ImaginaryI;	ⅈ
Implies;	⇒
Int;	∬
Integral;	∫
Intersection;	⋂
InvisibleComma;	⁣
InvisibleTimes;	⁢
Iogon;	Į
Iopf;	𝕀
Iscr;	ℐ
Itilde;	Ĩ
Iukcy;	І
Iuml	Ï
Jcirc;	Ĵ
Jcy;	Й
Jfr;	𝔍
Jopf;	𝕁
Jscr;	𝒥
Jsercy;	Ј
Jukcy;	Є
KHcy;	Х
KJcy;	Ќ
Kcedil;	Ķ
Kcy;	К
Kfr;	𝔎
Kopf;	𝕂
Kscr;	𝒦
LJcy;	Љ
LT	<
LT;	<
Lacute;	Ĺ
Lang;	⟪
Laplacetrf;	ℒ
Larr;	↞
Lcaron;	Ľ
Lcedil;	Ļ
Lcy;	Л
LeftAngleBracket;	⟨
LeftArrow;	←
LeftArrowBar;	⇤
LeftArrowRightArrow;	⇆
LeftCeiling;	⌈
LeftDoubleBracket;	⟦
LeftDownTeeVector;	⥡
LeftDownVector;	⇃
LeftDownVectorBar;	⥙
LeftFloor;	⌊
LeftRightArrow;	↔
LeftRightVector;	⥎
LeftTee;	⊣
LeftTeeArrow;	↤
LeftTeeVector;	⥚
LeftTriangle;	⊲
LeftTriangleBar;	⧏
LeftTriangleEqual;	⊴
LeftUpDownVector;	⥑
LeftUpTeeVector;	⥠
LeftUpVector;	↿
LeftUpVectorBar;	⥘
LeftVector;	↼
LeftVectorBar;	⥒
Leftarrow;	⇐
Leftrightarrow;	⇔
LessEqualGreater;	⋚
LessFullEqual;	≦
LessGreater;	≶
LessLess;	⪡
LessSlantEqual;	⩽
LessTilde;	≲
Lfr;	𝔏
Ll;	⋘
Lleftarrow;	⇚
Lmidot;	Ŀ
LongLeftArrow;	⟵
LongLeftRightArrow;	⟷
LongRightArrow;	⟶
Longleftarrow;	⟸
Longleftrightarrow;	⟺
Longrightarrow;	⟹
Lopf;	𝕃
LowerLeftArrow;	↙
LowerRightArrow;	↘
Lscr;	ℒ
Lsh;	↰
Lstrok;	Ł
Lt;	≪
Map;	⤅
Mcy;	М
MediumSpace;	 
Mellintrf;	ℳ
Mfr;	𝔐
MinusPlus;	∓
Mopf;	𝕄
Mscr;	ℳ
NJcy;	Њ
Nacute;	Ń
Ncaron;	Ň
Ncedil;	Ņ
Ncy;	Н
NegativeMediumSpace;	​
NegativeThickSpace;	​
NegativeThinSpace;	​
NegativeVeryThinSpace;	​
NestedGreaterGreater;	≫
NestedLessLess;	≪
NewLine;	\n
Nfr;	𝔑
NoBreak;	⁠
NonBreakingSpace;	 
Nopf;	ℕ
Not;	⫬
NotCongruent;	≢
NotCupCap;	≭
NotDoubleVerticalBar;	∦
NotElement;	∉
NotEqual;	≠
NotEqualTilde;	≂̸
NotExists;	∄
NotGreater;	≯
NotGreaterEqual;	≱
NotGreaterFullEqual;	≧̸
NotGreaterGreater;	≫̸
NotGreaterLess;	≹
NotGreaterSlantEqual;	⩾̸
NotGreaterTilde;	≵
NotHumpDownHump;	≎̸
NotHumpEqual;	≏̸
NotLeftTriangle;	⋪
NotLeftTriangleBar;	⧏̸
NotLeftTriangleEqual;	⋬
NotLess;	≮
NotLessEqual;	≰
NotLessGreater;	≸
NotLessLess;	≪̸
NotLessSlantEqual;	⩽̸
NotLessTilde;	≴
NotNestedGreaterGreater;	⪢̸
NotNestedLessLess;	⪡̸
NotPrecedes;	⊀
NotPrecedesEqual;	⪯̸
NotPrecedesSlantEqual;	⋠
NotReverseElement;	∌
NotRightTriangle;	⋫
NotRightTriangleBar;	⧐̸
NotRightTriangleEqual;	⋭
NotSquareSubset;	⊏̸
NotSquareSubsetEqual;	⋢
NotSquareSuperset;	⊐̸
NotSquareSupersetEqual;	⋣
NotSubset;	⊂⃒
NotSubsetEqual;	⊈
NotSucceeds;	⊁
NotSucceedsEqual;	⪰̸
NotSucceedsSlantEqual;	⋡
NotSucceedsTilde;	≿̸
NotSuperset;	⊃⃒
NotSupersetEqual;	⊉
NotTilde;	≁
NotTildeEqual;	≄
NotTildeFullEqual;	≇
NotTildeTilde;	≉
NotVerticalBar;	∤
Nscr;	𝒩
Ntilde	Ñ
Oacute	Ó
Ocirc	Ô
Ocy;	О
Odblac;	Ő
Ofr;	𝔒
Ograve	Ò
Omacr;	Ō
Oopf;	𝕆
OpenCurlyDoubleQuote;	“
OpenCurlyQuote;	‘
Or;	⩔
Oscr;	𝒪
Oslash	Ø
Otilde	Õ
Otimes;	⨷
Ouml	Ö
OverBar;	‾
OverBrace;	⏞
OverBracket;	⎴
OverParenthesis;	⏜
PartialD;	∂
Pcy;	П
Pfr;	𝔓
PlusMinus;	±
Poincareplane;	ℌ
Popf;	ℙ
Pr;	⪻
Precedes;	≺
PrecedesEqual;	⪯
PrecedesSlantEqual;	≼
PrecedesTilde;	≾
Product;	∏
Proportion;	∷
Proportional;	∝
Pscr;	𝒫
QUOT	"
QUOT;	"
Qfr;	𝔔
Qopf;	ℚ
Qscr;	𝒬
RBarr;	⤐
REG	®
REG;	®
Racute;	Ŕ
Rang;	⟫
Rarr;	↠
Rarrtl;	⤖
Rcaron;	Ř
Rcedil;	Ŗ
Rcy;	Р
Re;	ℜ
ReverseElement;	∋
ReverseEquilibrium;	⇋
ReverseUpEquilibrium;	⥯
Rfr;	ℜ
RightAngleBracket;	⟩
RightArrow;	→
RightArrowBar;	⇥
RightArrowLeftArrow;	⇄
RightCeiling;	⌉
RightDoubleBracket;	⟧
RightDownTeeVector;	⥝
RightDownVector;	⇂
RightDownVectorBar;	⥕
RightFloor;	⌋
RightTee;	⊢
RightTeeArrow;	↦
RightTeeVector;	⥛
RightTriangle;	⊳
RightTriangleBar;	⧐
RightTriangleEqual;	⊵
RightUpDownVector;	⥏
RightUpTeeVector;	⥜
RightUpVector;	↾
RightUpVectorBar;	⥔
RightVector;	⇀
RightVectorBar;	⥓
Rightarrow;	⇒
Ropf;	ℝ
RoundImplies;	⥰
Rrightarrow;	⇛
Rscr;	ℛ
Rsh;	↱
RuleDelayed;	⧴
SHCHcy;	Щ
SHcy;	Ш
SOFTcy;	Ь
Sacute;	Ś
Sc;	⪼
Scedil;	Ş
Scirc;	Ŝ
Scy;	С
Sfr;	𝔖
ShortDownArrow;	↓
ShortLeftArrow;	←
ShortRightArrow;	→
ShortUpArrow;	↑
SmallCircle;	∘
Sopf;	𝕊
Sqrt;	√
Square;	□
SquareIntersection;	⊓
SquareSubset;	⊏
SquareSubsetEqual;	⊑
SquareSuperset;	⊐
SquareSupersetEqual;	⊒
SquareUnion;	⊔
Sscr;	𝒮
Star;	⋆
Sub;	⋐
Subset;	⋐
SubsetEqual;	⊆
Succeeds;	≻
SucceedsEqual;	⪰
SucceedsSlantEqual;	≽
SucceedsTilde;	≿
SuchThat;	∋
Sum;	∑
Sup;	⋑
Superset;	⊃
SupersetEqual;	⊇
Supset;	⋑
THORN	Þ
TRADE;	™
TSHcy;	Ћ
TScy;	Ц
Tab;	\t
Tcaron;	Ť
Tcedil;	Ţ
Tcy;	Т
Tfr;	𝔗
Therefore;	∴
ThickSpace;	  
ThinSpace;	 
Tilde;	∼
TildeEqual;	≃
TildeFullEqual;	≅
TildeTilde;	≈
Topf;	𝕋
TripleDot;	⃛
Tscr;	𝒯
Tstrok;	Ŧ
Uacute	Ú
Uarr;	↟
Uarrocir;	⥉
Ubrcy;	Ў
Ubreve;	Ŭ
Ucirc	Û
Ucy;	У
Udblac;	Ű
Ufr;	𝔘
Ugrave	Ù
Umacr;	Ū
UnderBar;	_
UnderBrace;	⏟
UnderBracket;	⎵
UnderParenthesis;	⏝
Union;	⋃
UnionPlus;	⊎
Uogon;	Ų
Uopf;	𝕌
UpArrow;	↑
UpArrowBar;	⤒
UpArrowDownArrow;	⇅
UpDownArrow;	↕
UpEquilibrium;	⥮
UpTee;	⊥
UpTeeArrow;	↥
Uparrow;	⇑
Updownarrow;	⇕
UpperLeftArrow;	↖
UpperRightArrow;	↗
Upsi;	ϒ
Uring;	Ů
Uscr;	𝒰
Utilde;	Ũ
Uuml	Ü
VDash;	⊫
Vbar;	⫫
Vcy;	В
Vdash;	⊩
Vdashl;	⫦
Vee;	⋁
Verbar;	‖
Vert;	‖
VerticalBar;	∣
VerticalLine;	|
VerticalSeparator;	❘
VerticalTilde;	≀
VeryThinSpace;	 
Vfr;	𝔙
Vopf;	𝕍
Vscr;	𝒱
Vvdash;	⊪
Wcirc;	Ŵ
Wedge;	⋀
Wfr;	𝔚
Wopf;	𝕎
Wscr;	𝒲
Xfr;	𝔛
Xopf;	𝕏
Xscr;	𝒳
YAcy;	Я
YIcy;	Ї
YUcy;	Ю
Yacute	Ý
Ycirc;	Ŷ
Ycy;	Ы
Yfr;	𝔜
Yopf;	𝕐
Yscr;	𝒴
ZHcy;	Ж
Zacute;	Ź
Zcaron;	Ž
Zcy;	З
Zdot;	Ż
ZeroWidthSpace;	​
Zfr;	ℨ
Zopf;	ℤ
Zscr;	𝒵
aacute	á
abreve;	ă
ac;	∾
acE;	∾̳
acd;	∿
acirc	â
acute	´
acy;	а
aelig	æ
af;	⁡
afr;	𝔞
agrave	à
aleph;	ℵ
amacr;	ā
amalg;	⨿
amp	&
andand;	⩕
andd;	⩜
andslope;	⩘
andv;	⩚
ange;	⦤
angle;	∠
angmsd;	∡
angmsdaa;	⦨
angmsdab;	⦩
angmsdac;	⦪
angmsdad;	⦫
angmsdae;	⦬
angmsdaf;	⦭
angmsdag;	⦮
angmsdah;	⦯
angrt;	∟
angrtvb;	⊾
angrtvbd;	⦝
angsph;	∢
angst;	Å
angzarr;	⍼
aogon;	ą
aopf;	𝕒
ap;	≈
apE;	⩰
apacir;	⩯
ape;	≊
apid;	≋
apos;	'
approx;	≈
approxeq;	≊
aring	å
ascr;	𝒶
ast;	*
asympeq;	≍
atilde	ã
auml	ä
awconint;	∳
awint;	⨑
bNot;	⫭
backcong;	≌
backepsilon;	϶
backprime;	‵
backsim;	∽
backsimeq;	⋍
barvee;	⊽
barwed;	⌅
barwedge;	⌅
bbrk;	⎵
bbrktbrk;	⎶
bcong;	≌
bcy;	б
becaus;	∵
because;	∵
bemptyv;	⦰
bepsi;	϶
bernou;	ℬ
beth;	ℶ
between;	≬
bfr;	𝔟
bigcap;	⋂
bigcirc;	◯
bigcup;	⋃
bigodot;	⨀
bigoplus;	⨁
bigotimes;	⨂
bigsqcup;	⨆
bigstar;	★
bigtriangledown;	▽
bigtriangleup;	△
biguplus;	⨄
bigvee;	⋁
bigwedge;	⋀
bkarow;	⤍
blacklozenge;	⧫
blacksquare;	▪
blacktriangle;	▴
blacktriangledown;	▾
blacktriangleleft;	◂
blacktriangleright;	▸
blank;	␣
blk12;	▒
blk14;	░
blk34;	▓
block;	█
bne;	=⃥
bnequiv;	≡⃥
bnot;	⌐
bopf;	𝕓
bot;	⊥
bottom;	⊥
bowtie;	⋈
boxDL;	╗
boxDR;	╔
boxDl;	╖
boxDr;	╓
boxH;	═
boxHD;	╦
boxHU;	╩
boxHd;	╤
boxHu;	╧
boxUL;	╝
boxUR;	╚
boxUl;	╜
boxUr;	╙
boxV;	║
boxVH;	╬
boxVL;	╣
boxVR;	╠
boxVh;	╫
boxVl;	╢
boxVr;	╟
boxbox;	⧉
boxdL;	╕
boxdR;	╒
boxdl;	┐
boxdr;	┌
boxh;	─
boxhD;	╥
boxhU;	╨
boxhd;	┬
boxhu;	┴
boxminus;	⊟
boxplus;	⊞
boxtimes;	⊠
boxuL;	╛
boxuR;	╘
boxul;	┘
boxur;	└
boxv;	│
boxvH;	╪
boxvL;	╡
boxvR;	╞
boxvh;	┼
boxvl;	┤
boxvr;	├
bprime;	‵
breve;	˘
brvbar	¦
bscr;	𝒷
bsemi;	⁏
bsim;	∽
bsime;	⋍
bsol;	\\
bsolb;	⧅
bsolhsub;	⟈
bullet;	•
bump;	≎
bumpE;	⪮
bumpe;	≏
bumpeq;	≏
cacute;	ć
capand;	⩄
capbrcup;	⩉
capcap;	⩋
capcup;	⩇
capdot;	⩀
caps;	∩︀
caret;	⁁
caron;	ˇ
ccaps;	⩍
ccaron;	č
ccedil	ç
ccirc;	ĉ
ccups;	⩌
ccupssm;	⩐
cdot;	ċ
cedil	¸
cemptyv;	⦲
cent	¢
centerdot;	·
cfr;	𝔠
chcy;	ч
check;	✓
checkmark;	✓
cir;	○
cirE;	⧃
circeq;	≗
circlearrowleft;	↺
circlearrowright;	↻
circledR;	®
circledS;	Ⓢ
circledast;	⊛
circledcirc;	⊚
circleddash;	⊝
cire;	≗
cirfnint;	⨐
cirmid;	⫯
cirscir;	⧂
clubsuit;	♣
colon;	:
colone;	≔
coloneq;	≔
comma;	,
commat;	@
comp;	∁
compfn;	∘
complement;	∁
complexes;	ℂ
congdot;	⩭
conint;	∮
copf;	𝕔
coprod;	∐
copy	©
copysr;	℗
cross;	✗
cscr;	𝒸
csub;	⫏
csube;	⫑
csup;	⫐
csupe;	⫒
ctdot;	⋯
cudarrl;	⤸
cudarrr;	⤵
cuepr;	⋞
cuesc;	⋟
cularr;	↶
cularrp;	⤽
cupbrcap;	⩈
cupcap;	⩆
cupcup;	⩊
cupdot;	⊍
cupor;	⩅
cups;	∪︀
curarr;	↷
curarrm;	⤼
curlyeqprec;	⋞
curlyeqsucc;	⋟
curlyvee;	⋎
curlywedge;	⋏
curren	¤
curvearrowleft;	↶
curvearrowright;	↷
cuvee;	⋎
cuwed;	⋏
cwconint;	∲
cwint;	∱
cylcty;	⌭
dHar;	⥥
daleth;	ℸ
dash;	‐
dashv;	⊣
dbkarow;	⤏
dblac;	˝
dcaron;	ď
dcy;	д
dd;	ⅆ
ddagger;	‡
ddarr;	⇊
ddotseq;	⩷
deg	°
demptyv;	⦱
dfisht;	⥿
dfr;	𝔡
dharl;	⇃
dharr;	⇂
diam;	⋄
diamond;	⋄
diamondsuit;	♦
die;	¨
digamma;	ϝ
disin;	⋲
div;	÷
divide	÷
divideontimes;	⋇
divonx;	⋇
djcy;	ђ
dlcorn;	⌞
dlcrop;	⌍
dollar;	$
dopf;	𝕕
dot;	˙
doteq;	≐
doteqdot;	≑
dotminus;	∸
dotplus;	∔
dotsquare;	⊡
doublebarwedge;	⌆
downarrow;	↓
downdownarrows;	⇊
downharpoonleft;	⇃
downharpoonright;	⇂
drbkarow;	⤐
drcorn;	⌟
drcrop;	⌌
dscr;	𝒹
dscy;	ѕ
dsol;	⧶
dstrok;	đ
dtdot;	⋱
dtri;	▿
dtrif;	▾
duarr;	⇵
duhar;	⥯
dwangle;	⦦
dzcy;	џ
dzigrarr;	⟿
eDDot;	⩷
eDot;	≑
eacute	é
easter;	⩮
ecaron;	ě
ecir;	≖
ecirc	ê
ecolon;	≕
ecy;	э
edot;	ė
ee;	ⅇ
efDot;	≒
